"Date","Session hour","Browser","Page path","Avg. time on page","Page views","Site sessions","Avg. session duration"
"7/17/2025","4","Safari","/contact","9s","2","1","3m, 28s"
"7/30/2025","0","Chrome","/","9s","1","1","12s"
"9/23/2025","14","Chrome","/ai4lifesciences","9s","2","1","1m, 22s"
"7/27/2025","21","LinkedIn App","/contact","9s","1","1","1m, 37s"
"9/7/2025","15","Chrome","/","8s, 333ms","4","1","1m, 32s"
"8/4/2025","11","Mobile Samsung Browser","/ai4lifesciences","8s","1","1","31s"
"7/17/2025","10","Google App","/","8s","2","1","20s"
"9/18/2025","5","Chrome","/capabilities/palantir-foundry-services","8s","1","1","31s"
"9/26/2025","0","Chrome","/ai4lifesciences","8s","1","1","13s"
"7/20/2025","12","Safari","/ai4lifesciences","7s","1","1","41s"
"8/30/2025","19","Chrome","/","7s","1","1","7s"
"8/6/2025","10","Chrome","/ai4lifesciences","7s","1","1","27s"
"8/8/2025","18","Chrome","/","7s","1","1","7s"
"9/23/2025","11","Chrome","/contact","7s","1","1","9m, 3s"
"7/10/2025","14","Chrome","/ai4lifesciences","7s","1","1","1m, 2s"
"8/31/2025","20","Chrome","/ai4lifesciences","7s","1","1","7s"
"7/28/2025","19","Chrome","/ai4lifesciences","6s","1","1","6s"
"7/7/2025","11","Safari","/ai4lifesciences","6s","2","1","3m, 23s"
"7/26/2025","16","Chrome","/","6s","1","1","6s"
"7/4/2025","9","Safari","/contact","6s","2","1","2m, 38s"
"7/14/2025","12","Chrome","/blog","6s","1","1","49s"
"9/5/2025","22","Chrome","/","5s, 500ms","2","1","1m, 7s"
"9/7/2025","15","Chrome","/contact","5s, 333ms","3","1","1m, 32s"
"7/27/2025","21","LinkedIn App","/ai4lifesciences","5s","1","1","1m, 37s"
"8/31/2025","19","Chrome","/","5s","2","2","28m, 8s"
"7/4/2025","21","Chrome","/","5s","1","1","45s"
"8/6/2025","16","Chrome","/blog","5s","2","1","8m, 4s"
"9/30/2025","11","Chrome","/contact","5s","1","1","1m, 58s"
"9/11/2025","16","Safari","/capabilities","5s","1","1","36s"
"9/12/2025","18","Chrome","/","5s","1","1","5s"
"9/26/2025","0","Chrome","/","5s","2","1","13s"
"9/17/2025","10","Safari","/contact","5s","2","1","45s"
"9/5/2025","22","Chrome","/contact","4s, 500ms","3","1","1m, 7s"
"9/15/2025","16","Chrome","/ai4lifesciences","4s","1","1","19s"
"8/27/2025","11","Chrome","/","4s","1","1","4s"
"9/11/2025","14","Chrome","/contact","4s","1","1","32s"
"9/6/2025","17","Safari","/contact","4s","1","1","1m, 7s"
"7/17/2025","10","Google App","/capabilities","4s","1","1","20s"
"9/11/2025","16","Safari","/","4s","1","1","36s"
"8/27/2025","1","Chrome","/ai4lifesciences","4s","2","1","34s"
"8/17/2025","21","Chrome","/","4s","1","1","4s"
"9/23/2025","11","Chrome","/capabilities","4s","1","1","9m, 3s"
"7/20/2025","1","Chrome","/contact","4s","1","1","1m, 13s"
"7/10/2025","14","Chrome","/capabilities","3s","1","1","1m, 2s"
"8/13/2025","18","Chrome","/capabilities","3s","1","1","55s"
"7/7/2025","11","Safari","/contact","3s","1","1","3m, 23s"
"9/23/2025","14","Chrome","/contact","3s","1","1","1m, 22s"
"8/6/2025","10","Chrome","/","3s","2","1","27s"
"8/29/2025","4","Chrome","/","3s","2","1","52s"
"9/16/2025","3","Chrome","/","3s","1","1","1m, 39s"
"7/14/2025","12","Chrome","/contact","3s","3","2","26s, 500ms"
"8/22/2025","1","Chrome","/capabilities/palantir-foundry-services","2s","3","1","34s"
"8/6/2025","16","Chrome","/contact","2s","2","1","8m, 4s"
"9/23/2025","11","Chrome","/capabilities/palantir-foundry-services","2s","1","1","9m, 3s"
"7/10/2025","14","Chrome","/blog","2s","1","1","1m, 2s"
"9/11/2025","4","Mobile Samsung Browser","/ai4lifesciences","1s","1","1","26s"
"8/25/2025","8","Chrome","/",,"1","1",
"9/4/2025","8","Chrome","/ai4lifesciences",,"1","1","22s"
"7/9/2025","15","Chrome","/",,"2","2",
"7/30/2025","3","Chrome","/",,"1","1",
"8/26/2025","10","Chrome","/ai4lifesciences",,"1","1","10s"
"8/31/2025","20","Chrome","/",,"1","1","7s"
"9/6/2025","18","Safari","/",,"1","1",
"9/7/2025","20","Safari","/",,"1","1",
"8/12/2025","19","Safari","/",,"1","1",
"8/8/2025","11","Chrome","/",,"2","1","5s"
"9/14/2025","18","Safari","/",,"1","1",
"9/15/2025","15","Chrome","/blog",,"2","1","1m, 41s"
"7/24/2025","21","Safari","/blog",,"1","1","13s"
"7/7/2025","16","Chrome","/",,"1","1",
"9/4/2025","16","Chrome","/capabilities/palantir-foundry-services",,"1","1","18s"
"8/29/2025","11","Chrome","/",,"1","1",
"8/9/2025","1","Safari","/",,"1","1",
"9/16/2025","9","Chrome","/",,"1","1",
"7/4/2025","21","Chrome","/contact",,"1","1","45s"
"9/9/2025","22","Chrome","/",,"1","1",
"8/20/2025","9","Chrome","/blog",,"1","1","14s"
"7/30/2025","12","Chrome","/capabilities/palantir-foundry-services",,"1","1",
"9/10/2025","22","Chrome","/ai4lifesciences",,"1","1","49s"
"8/28/2025","6","Chrome","/",,"3","2","22s"
"8/30/2025","19","Chrome","/capabilities/palantir-foundry-services",,"1","1","7s"
"7/27/2025","21","LinkedIn App","/post/so-you-want-to-join-the-generative-ai-bandwagon-psst-here-s-a-cheat-sheet",,"1","1","1m, 37s"
"8/6/2025","12","Chrome","/",,"1","1",
"7/19/2025","18","Chrome","/capabilities/palantir-foundry-services",,"1","1",
"8/18/2025","19","Safari","/",,"1","1",
"7/17/2025","10","Google App","/contact",,"1","1","20s"
"9/17/2025","6","Chrome","/ai4lifesciences",,"1","1","10s"
"8/18/2025","14","Chrome","/",,"1","1",
"7/4/2025","8","LinkedIn App","/",,"1","1",
"8/12/2025","8","Chrome","/",,"3","1","1m, 16s"
"7/20/2025","4","Chrome","/",,"1","1",
"7/20/2025","13","Safari","/",,"1","1",
"7/29/2025","13","Safari","/ai4lifesciences",,"1","1","1m, 32s"
"9/13/2025","4","Mobile Samsung Browser","/",,"1","1",
"8/5/2025","19","Chrome","/contact",,"1","1",
"7/20/2025","14","Safari","/",,"1","1",
"9/30/2025","14","Chrome","/capabilities/palantir-foundry-services",,"1","1",
"9/12/2025","17","DuckDuckGo Mobile","/",,"1","1",
"8/19/2025","2","Safari","/",,"1","1",
"8/7/2025","0","Chrome","/ai4lifesciences",,"1","1","21s"
"8/7/2025","12","Chrome","/",,"1","1",
"9/3/2025","7","Edge","/",,"1","1",
"9/16/2025","3","Chrome","/ai4lifesciences",,"1","1","1m, 39s"
"7/26/2025","16","Chrome","/ai4lifesciences",,"1","1","6s"
"9/8/2025","13","Edge","/capabilities/palantir-foundry-services",,"1","1",
"7/20/2025","7","Chrome","/",,"1","1",
"9/17/2025","10","Safari","/capabilities/palantir-foundry-services",,"1","1","45s"
"9/9/2025","6","Chrome","/",,"1","1",
"9/11/2025","16","Safari","/post/making-data-science-and-ai-initiatives-efficient-and-scalable",,"1","1","36s"
"7/14/2025","12","Chrome","/",,"1","1","4s"
"8/11/2025","9","Safari","/blog",,"1","1","20s"
"8/16/2025","13","Chrome","/",,"1","1",
"8/18/2025","6","Safari","/",,"1","1",
"8/27/2025","6","Safari","/",,"1","1",
"7/20/2025","16","Safari","/",,"1","1",
"8/7/2025","11","Chrome","/",,"1","1",
"7/4/2025","15","Safari","/",,"1","1",
"9/7/2025","2","Safari","/",,"1","1",
"7/11/2025","23","Google App","/",,"1","1",
"7/14/2025","11","Chrome","/",,"1","1",
"8/26/2025","12","LinkedIn App","/ai4lifesciences",,"1","1","24s"
"9/15/2025","20","Norton Private Browser","/",,"1","1",
"9/9/2025","3","Chrome","/",,"2","1","3m, 5s"
"7/29/2025","15","Safari","/ai4lifesciences",,"1","1",
"8/27/2025","11","Chrome","/contact",,"1","1","4s"
"9/29/2025","14","Chrome","/capabilities/palantir-foundry-services",,"1","1","27s"
"7/8/2025","12","Safari","/ai4lifesciences",,"1","1",
"7/30/2025","0","Chrome","/ai4lifesciences",,"2","1","12s"
"8/23/2025","7","Chrome","/",,"1","1",
"8/27/2025","2","Chrome","/ai4lifesciences",,"1","1",
"7/20/2025","17","Chrome","/contact",,"1","1","23s"
"8/8/2025","18","Chrome","/capabilities/palantir-foundry-services",,"1","1","7s"
"8/10/2025","15","Safari","/blog",,"1","1","41s"
"7/16/2025","12","Google App","/",,"2","1","8s"
"7/4/2025","9","Safari","/capabilities/palantir-foundry-services",,"1","1","2m, 38s"
"7/9/2025","16","Chrome","/",,"1","1",
"8/29/2025","10","Chrome","/contact",,"1","1",
"7/31/2025","19","Safari","/",,"1","1",
"8/8/2025","18","Safari","/",,"1","1",
"8/6/2025","16","Chrome","/post/ai-in-pharma-marketing-at-the-crossroads-of-revolution",,"1","1","8m, 4s"
"9/23/2025","17","Safari","/",,"1","1",
"9/6/2025","23","Safari","/",,"1","1",
"9/6/2025","17","Safari","/ai4lifesciences",,"2","2","1m, 7s"
"7/29/2025","23","Chrome","/",,"1","1",
"9/4/2025","17","Chrome","/capabilities/palantir-foundry-services",,"1","1",
"7/17/2025","15","Safari","/blog/categories/advanced-analytics",,"1","1",
"9/18/2025","7","Chrome","/",,"2","2",
"8/17/2025","21","Chrome","/blank",,"1","1","4s"
"8/12/2025","18","Chrome","/",,"1","1",
"9/18/2025","13","Safari","/",,"1","1",
"7/30/2025","23","Safari","/",,"1","1",
"9/1/2025","12","Chrome","/",,"1","1",
"8/13/2025","22","LinkedIn App","/capabilities/palantir-foundry-services",,"1","1",
"9/12/2025","18","Chrome","/contact",,"1","1","5s"
"7/28/2025","19","Chrome","/",,"1","1","6s"
"9/23/2025","20","Safari","/",,"1","1",
"8/28/2025","12","Google App","/capabilities",,"1","1","43s"
"7/28/2025","11","Chrome","/",,"1","1",
"9/12/2025","19","LinkedIn App","/",,"1","1",
"8/20/2025","16","Safari","/",,"1","1",
"9/30/2025","11","Chrome","/blog/categories/events",,"1","1","1m, 58s"
"9/18/2025","11","Safari","/",,"1","1",
"8/31/2025","7","Chrome","/capabilities/palantir-foundry-services",,"2","2",
"7/20/2025","10","Chrome","/",,"1","1",
"8/25/2025","18","Chrome","/blog",,"1","1",
"9/15/2025","16","Chrome","/capabilities/palantir-foundry-services",,"1","1","19s"
"9/18/2025","5","Chrome","/capabilities",,"1","1","31s"
"7/20/2025","14","Chrome","/capabilities/palantir-foundry-services",,"1","1","11s"
"8/25/2025","14","Chrome","/",,"1","1",
"8/30/2025","5","Chrome","/ai4lifesciences",,"1","1",
"7/13/2025","1","Chrome","/contact",,"1","1","53s"
"8/4/2025","8","Mobile Samsung Browser","/",,"1","1",
"9/8/2025","1","Chrome","/",,"1","1",
"8/6/2025","7","Safari","/blog",,"1","1","13s"
"9/11/2025","15","Chrome","/",,"1","1",
"8/19/2025","17","Safari","/",,"2","1","6m, 41s"
